Price,Open,High,Low,Close,Volume,SMA_50,SMA_200,EMA_50,MACD,MACD_Signal,RSI,BB_High,BB_Low,VWAP,Negative_News,Neutral_News,Positive_News
2015-01-02,8288.700195,8410.599609,8288.700195,8395.450195,101900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,8407.950195,8445.599609,8363.900391,8378.400391,118200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,8325.299805,8327.849609,8111.350098,8127.350098,172800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,8118.649902,8151.200195,8065.450195,8102.100098,164100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,8191.399902,8243.5,8167.299805,8234.599609,143800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,8285.450195,8303.299805,8190.799805,8284.5,148000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-12,8291.349609,8332.599609,8245.599609,8323.0,103200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,8346.150391,8356.650391,8267.900391,8299.400391,129600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-14,8307.25,8326.450195,8236.650391,8277.549805,146100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,8424.5,8527.099609,8380.549805,8494.150391,232100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,8504.049805,8530.75,8452.25,8513.799805,176000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-19,8550.049805,8570.950195,8531.5,8550.700195,125400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-20,8575.099609,8707.900391,8574.5,8695.599609,158700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-21,8719.650391,8741.849609,8689.599609,8729.5,185900.0,0.0,0.0,0.0,0.0,0.0,75.55143445279036,0.0,0.0,8389.00627835953,0.0,0.0,0.0
2015-01-22,8745.849609,8774.150391,8727.0,8761.400391,175500.0,0.0,0.0,0.0,0.0,0.0,76.76825258265919,0.0,0.0,8419.539154545808,0.0,0.0,0.0
2015-01-23,8827.950195,8866.400391,8795.400391,8835.599609,191200.0,0.0,0.0,0.0,0.0,0.0,79.34348982990154,0.0,0.0,8455.828453914994,0.0,0.0,0.0
2015-01-27,8871.349609,8925.049805,8825.450195,8910.5,192000.0,0.0,0.0,0.0,0.0,0.0,81.56499837530262,0.0,0.0,8512.580886084756,0.0,0.0,0.0
2015-01-28,8902.75,8985.049805,8874.049805,8914.299805,185100.0,0.0,0.0,0.0,0.0,0.0,81.67268254109626,0.0,0.0,8574.920105139157,0.0,0.0,0.0
2015-01-29,8901.5,8966.650391,8861.25,8952.349609,256300.0,0.0,0.0,0.0,0.0,0.0,82.75874156155854,0.0,0.0,8633.92445752677,0.0,0.0,0.0
2015-01-30,8996.599609,8996.599609,8775.099609,8808.900391,267300.0,0.0,0.0,0.0,0.0,0.0,66.70895961564797,9069.524457839196,7989.390581360805,8679.83371251236,0.0,0.0,0.0
2015-02-02,8802.5,8840.799805,8751.099609,8797.400391,210100.0,0.0,0.0,0.0,0.0,0.0,65.6104282304358,9098.02904157919,8001.081017220808,8704.02523484355,0.0,0.0,0.0
2015-02-03,8823.150391,8837.299805,8726.650391,8756.549805,208700.0,0.0,0.0,0.0,0.0,0.0,61.72217402522063,9118.102707525572,8018.822292674428,8728.311821074305,0.0,0.0,0.0
2015-02-04,8789.150391,8792.849609,8704.400391,8723.700195,195300.0,0.0,0.0,0.0,0.0,0.0,58.7091395313452,9112.528720420629,8084.031289479369,8752.884672957167,0.0,0.0,0.0
2015-02-05,8733.099609,8838.450195,8683.650391,8711.700195,173600.0,0.0,0.0,0.0,0.0,0.0,57.60291555757758,9091.436512845685,8166.083506754318,8776.894809684807,0.0,0.0,0.0
2015-02-06,8696.849609,8726.200195,8645.549805,8661.049805,171300.0,0.0,0.0,0.0,0.0,0.0,53.05849506482361,9075.978035703356,8224.187003496641,8788.729856133537,0.0,0.0,0.0
2015-02-09,8584.400391,8605.549805,8516.349609,8526.349609,146800.0,0.0,0.0,0.0,70.14996245006841,0.0,43.27964382939297,9058.576222561867,8265.773777538132,8786.770114296587,0.0,0.0,0.0
2015-02-10,8478.099609,8646.25,8470.5,8565.549805,196200.0,0.0,0.0,0.0,54.82724254960885,0.0,46.37698358058731,9042.276639747695,8306.328340852306,8778.016921526609,0.0,0.0,0.0
2015-02-11,8603.299805,8651.950195,8593.650391,8627.400391,161600.0,0.0,0.0,0.0,47.13140057005148,0.0,50.9300671750011,9017.289047331356,8364.115933268646,8772.850795789553,0.0,0.0,0.0
2015-02-12,8676.950195,8732.549805,8599.25,8711.549805,158800.0,0.0,0.0,0.0,47.27755853398594,0.0,56.35929539926326,8978.340665569203,8446.464315030795,8768.690862681698,0.0,0.0,0.0
2015-02-13,8741.5,8822.099609,8729.650391,8805.5,221900.0,0.0,0.0,0.0,54.34789661360446,0.0,61.483231980141625,8976.888352489812,8479.051589010189,8765.6276437124,0.0,0.0,0.0
2015-02-16,8831.400391,8870.099609,8793.400391,8809.349609,136400.0,0.0,0.0,0.0,59.57507734705359,0.0,61.68175970567573,8973.48025234816,8512.014669551842,8759.937573763566,0.0,0.0,0.0
2015-02-18,8811.549805,8894.299805,8808.900391,8869.099609,147600.0,0.0,0.0,0.0,67.75791037357885,0.0,64.72118381894273,8977.84859359059,8539.486269709412,8753.88005482116,0.0,0.0,0.0
2015-02-19,8883.049805,8913.450195,8794.450195,8895.299805,213300.0,0.0,0.0,0.0,75.48683609665568,0.0,65.99492389452269,8993.551865872321,8543.753017027679,8746.205690614715,0.0,0.0,0.0
2015-02-20,8895.5,8899.950195,8816.299805,8833.599609,197600.0,0.0,0.0,0.0,75.76006043129928,66.09384280227287,60.45894925902527,8999.707876847087,8548.006966952913,8742.278944285194,0.0,0.0,0.0
2015-02-23,8856.849609,8869.0,8736.099609,8754.950195,139600.0,0.0,0.0,0.0,68.83673524127516,66.64242129007334,54.21580847392861,8999.474003608226,8547.595820591774,8740.181087157182,0.0,0.0,0.0
2015-02-24,8772.900391,8800.5,8726.75,8762.099609,149800.0,0.0,0.0,0.0,63.198337018422535,65.95360443574319,54.6740026253358,8994.025472529569,8545.694351670432,8738.721245305876,0.0,0.0,0.0
2015-02-25,8801.900391,8840.650391,8751.400391,8767.25,135200.0,0.0,0.0,0.0,58.47143698606124,64.4571709458068,55.023204796992616,8977.384226602038,8548.010597597962,8741.333966528664,0.0,0.0,0.0
2015-02-26,8779.0,8786.049805,8669.450195,8683.849609,217500.0,0.0,0.0,0.0,47.44866147368703,61.05546905138284,48.50631444435032,8956.616118945554,8545.733685654444,8738.533030836828,0.0,0.0,0.0
2015-02-27,8729.5,8856.950195,8717.450195,8844.599609,249500.0,0.0,0.0,0.0,51.09522012953494,59.06341926701327,58.66767658015335,8934.8412980891,8556.7335065109,8749.599466109328,0.0,0.0,0.0
2015-03-02,8953.849609,8972.349609,8885.450195,8956.75,218100.0,0.0,0.0,0.0,62.316398755860064,59.71401516478262,64.00447670715911,8962.051072963868,8544.30869253613,8777.32822626756,0.0,0.0,0.0
2015-03-03,8962.849609,9008.400391,8925.549805,8996.25,177800.0,0.0,0.0,0.0,73.548759232257,62.4809639782775,65.68504269117363,8996.911345278651,8529.333381121349,8808.200658793903,0.0,0.0,0.0
2015-03-04,9109.150391,9119.200195,8893.950195,8922.650391,248400.0,0.0,0.0,0.0,75.63968527806901,65.11270823823581,60.05846404874072,9015.276921351646,8527.577863648354,8835.786401925852,0.0,0.0,0.0
2015-03-05,8929.400391,8957.549805,8849.349609,8937.75,160100.0,0.0,0.0,0.0,77.62041169825716,67.61424893024008,60.80034635663628,9035.27309203645,8528.986673463549,8850.033555190024,0.0,0.0,0.0
2015-03-09,8891.150391,8891.299805,8740.450195,8756.75,155500.0,0.0,0.0,0.0,63.84895334714383,66.86118981362084,49.04135064534427,9035.774395675557,8532.990350324446,8852.345925489775,0.0,0.0,0.0
2015-03-10,8769.75,8778.0,8677.349609,8712.049805,163800.0,0.0,0.0,0.0,48.7658983045676,63.2421315118102,46.64219362646398,9034.270511340424,8539.594234659575,8845.56742706596,0.0,0.0,0.0
2015-03-11,8728.75,8755.599609,8682.349609,8699.950195,172800.0,0.0,0.0,0.0,35.42774215092868,57.6792536396339,45.98639239411676,9016.536116559606,8574.688688040393,8836.055136423687,0.0,0.0,0.0
2015-03-12,8740.650391,8787.200195,8732.900391,8776.0,173900.0,0.0,0.0,0.0,30.64053596615849,52.27151010493882,50.68020690182715,9000.699976247086,8611.569847852914,8828.612698469473,0.0,0.0,0.0
2015-03-13,8844.049805,8849.75,8631.75,8647.75,179200.0,0.0,0.0,0.0,16.30992672206412,45.07919342836388,43.77203098713649,8998.148134363986,8616.156650636014,8818.571607412377,0.0,0.0,0.0
2015-03-16,8656.75,8663.549805,8612.0,8633.150391,163300.0,0.0,0.0,0.0,3.73173213228074,36.80970116914725,43.05259382823041,9004.839160494126,8601.625683105876,8808.698233282312,0.0,0.0,0.0
2015-03-17,8689.099609,8742.549805,8630.799805,8723.299805,177000.0,8669.16697268,0.0,8686.750326044512,1.0259006544474687,29.652941066207298,48.66345089535186,9003.706195937732,8594.53862816227,8803.83378607618,0.0,0.0,0.0
2015-03-18,8742.900391,8747.25,8664.0,8685.900391,156400.0,8674.9759766,0.0,8686.716995258454,-4.089172995187255,22.90451825392839,46.61164505708884,9003.295033417715,8582.604868882285,8798.46293015092,0.0,0.0,0.0
